,year,night,frame,channel,path
0,08,314,118,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/314/08_314_118_001_25_R.fits
1,08,314,116,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/314/08_314_116_001_25_B.fits
2,08,314,120,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/314/08_314_120_001_25_R.fits
3,08,314,116,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/314/08_314_116_001_25_R.fits
4,08,314,118,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/314/08_314_118_001_25_B.fits
5,08,314,120,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/314/08_314_120_001_25_B.fits
6,08,106,121,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_121_001_25_R.fits
7,08,106,123,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_123_001_25_R.fits
8,08,106,129,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_129_001_25_R.fits
9,08,106,132,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_132_001_25_R.fits
10,08,106,119,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_119_001_25_R.fits
11,08,106,126,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_126_001_25_R.fits
12,08,106,126,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_126_001_25_B.fits
13,08,106,129,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_129_001_25_B.fits
14,08,106,132,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_132_001_25_B.fits
15,08,106,119,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_119_001_25_B.fits
16,08,106,121,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_121_001_25_B.fits
17,08,106,123,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/106/08_106_123_001_25_B.fits
18,08,224,121,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/224/08_224_121_001_25_R.fits
19,08,224,123,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/224/08_224_123_001_25_R.fits
20,08,224,119,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/224/08_224_119_001_25_R.fits
21,08,224,121,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/224/08_224_121_001_25_B.fits
22,08,224,123,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/224/08_224_123_001_25_B.fits
23,08,224,119,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/224/08_224_119_001_25_B.fits
24,08,101,032,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_032_001_25_R.fits
25,08,101,035,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_035_001_25_R.fits
26,08,101,038,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_038_001_25_R.fits
27,08,101,041,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_041_001_25_R.fits
28,08,101,044,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_044_001_25_R.fits
29,08,101,032,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_032_001_25_B.fits
30,08,101,035,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_035_001_25_B.fits
31,08,101,038,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_038_001_25_B.fits
32,08,101,041,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_041_001_25_B.fits
33,08,101,044,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/101/08_101_044_001_25_B.fits
34,08,202,042,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/202/08_202_042_001_25_R.fits
35,08,202,043,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/202/08_202_043_001_25_R.fits
36,08,202,046,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/202/08_202_046_001_25_R.fits
37,08,202,042,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/202/08_202_042_001_25_B.fits
38,08,202,043,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/202/08_202_043_001_25_B.fits
39,08,202,046,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/202/08_202_046_001_25_B.fits
40,08,355,142,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/355/08_355_142_001_25_R.fits
